Topic title: So   pujuk PAS balik ,"Topic posted on: 17 Jul 2017, 14:05:00",Topic link: https://forum.lowyat.net/topic/4362252,"Topic scraped on: 02 Aug 2017, 02:56:23",
username,date,avatar_title,group,post_count,join_date,from,text
darthboyzzee,20170717,New Member,Group: Junior Member,Posts: 42,201502,,"Still room for talks with PAS in Kedah, says MukhrizThere is still room for Kedah Pakatan Harapan to strike a deal with Kedah PAS, Parti Pribumi Bersatu Malaysia (Bersatu) deputy president Mukhriz Mahathir said.Mukhriz, who is slated to lead Bersatu's electoral efforts in Kedah, said that although Harapan does not have ties with PAS at the national level, the  situation in Kedah was different.""There is no single solution in politics. Some people once believed that Bersatu will never be part of Harapan, but it happened eventually,"" he said, according to Oriental Daily...For the rest of this story and more, subscribe for only RM150 a year (full news access) or RM420 a year (full news + full archive access). If you're already a subscriber, please sign in.https://www.malaysiakini.com/news/388804#ixzz4n4AfIkt8"
seather,20170717,xXxXxXxXx,Group: Senior Member,"Posts: 1,042",200411,,"so bila DAP gonna sound off Mukhriz, just like how they sounded off Azmin?"
max_cavalera,20170717,the world is so beautiful..,Group: Senior Member,"Posts: 4,517",200606,"From: Cyberjaya, Shah Alam, Ipoh","Duit sudah masuk akaun, pujuk apa?"
will4848,20170717,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,"Pujuk apa ?? ...beli saja lah, macam beli Teletubbies toy ..."
natamhanjing,20170717,Getting Started,Group: Junior Member,Posts: 69,200907,,Better if come out from PKR or DAP. PBBM Mukriz? lel
HongKi,20170717,Getting Started,Group: Junior Member,Posts: 111,201311,,Store room
danny88888,20170717,Getting Started,Group: Junior Member,Posts: 280,200809,,"One Bitten, Twice shy, Thrice BODO KIA YOU"
abgropi,20170717,New Member,Group: Newbie,Posts: 0,201706,,no need.we don't need pas.bn better economy management.
patt_sue,20170717,Enthusiast,Group: Senior Member,Posts: 792,200502,,"in kedah, pas definitely dont want to strike a deal with Bersatu... Pas stand a chance to grab a few of umno's seats with the help of bersatu...Bersatu is pas' secret weapon."
Sickness8,20170717,New Member,Group: Junior Member,Posts: 49,201104,,"Pujuk Pas, kick out DAP. Profitt."
unknown warrior,20170717,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,RM90 juta kan?mcm tu lah....haih  BN BN.
lepo,20170717,Casual,Group: Junior Member,Posts: 330,200607,,So what now? Bersatu also want to join PAS at Kedah.Bersatu got some share from RM90J?
taiko8148,20170717,Getting Started,Group: Junior Member,Posts: 61,201004,,"PAS sekarang ada dua puak, yg satu mau siasat 1MDB yg satu lagi buat tak tahu..Jadi Puak PAS yg mana satu Mukhriz mau runding..?"
DarkNite,20170717,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,PAS gone liao in Kedah.Many already know PAS too well after the last time PAS was the administration!
unknown warrior,20170717,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,"I have no issue if they want to join, just want them to expose that 90 million from najip as wrong."
lepo,20170717,Casual,Group: Junior Member,Posts: 330,200607,,"They already make first step to prove it wrong, but suing Sarawak Report.Sarawak Report who accused PAS received RM90J from Umno, and SR need to provide the proves to support their report."
LamboSama,20170717,Getting Started,Group: Junior Member,Posts: 67,201108,,Join for free? He thinks PAS so cheap?
Toyoi,20170717,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,kesian tered tak laku sampai 50 pages
natamhanjing,20170717,Getting Started,Group: Junior Member,Posts: 69,200907,,"Lol, better believe Rapiji than believe Husam 90M claim, at least Rafizi got documents (fake or not) and  SD."
unknown warrior,20170717,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,See how lah.
yeelong,20170717,K for /K,Group: Senior Member,"Posts: 1,168",200707,"From: Sibu, Cheras Selangor",why need to make them relevant again? just let them fade away like MCA and MIC
lepo,20170717,Casual,Group: Junior Member,Posts: 330,200607,,"Because they know, PAS will not fade away like MCA & MIC. They more afraid PAN, PKR or Bersatu who will fade way after GE14"
max_cavalera,20170717,the world is so beautiful..,Group: Senior Member,"Posts: 4,517",200606,"From: Cyberjaya, Shah Alam, Ipoh",Mau pas bayar lah  But im sure bijan will bid more
patt_sue,20170717,Enthusiast,Group: Senior Member,Posts: 792,200502,,"although pas lost kedah in 2013, pas still managed to garner around 40-45% of malay votes...thats a high percentage...umno got around 50-55% malay vote....if in the next ge Bersatu managed to reduce umno votes around 10%, several umno seats will be in trouble..."
natamhanjing,20170717,Getting Started,Group: Junior Member,Posts: 69,200907,,"Pas Kedah without Mat Sabu, mahal wei."
