Topic title: What if BN still lost Kajang in next Ge,"Topic posted on: 17 Jul 2017, 20:05:00",Topic link: https://forum.lowyat.net/topic/4362535,"Topic scraped on: 02 Aug 2017, 02:56:22",
username,date,avatar_title,group,post_count,join_date,from,text
gsem984,20170717,Getting Started,Group: Junior Member,Posts: 126,201510,,kantoi
big[1],20170717,On my way,Group: Senior Member,Posts: 588,201506,,so i dont need to pay? its free?
abgropi,20170717,New Member,Group: Newbie,Posts: 0,201706,,bn is good.opp state get mrt.i love bn.
Subang Nuclear Reactor,20170717,Getting Started,Group: Junior Member,Posts: 65,201512,"From: Melbourne, Darwin, Guangzhou",They will demolish the MRT
AP Asia,20170717,New Member,Group: Newbie,Posts: 0,201707,,"""Apa lagi orang kajang mau???"""
danielmckey,20170717,Casual,Group: Junior Member,Posts: 367,200801,,"Nothing will happen. Opposition already control majority of KL. Federal Government cannot ignore this area, otherwise Federal Government will lose face to the world. Anyway, KL still in control by the FT Minister appointed by Federal Government."
ihatemynahs,20170717,New Member,Group: Junior Member,Posts: 33,201012,"From: Kota Tinggi, Johor",win or lose we still have to pay 6% gst
~Sherlock~,20170717,New Member,Group: Junior Member,Posts: 39,201010,,Public transport is a government's duty.
justin hung,20170717,New Member,Group: Newbie,Posts: 3,201707,,got MRT but banjir everytime hujan lebatMajulah Malaysia ?
justin hung,20170717,New Member,Group: Newbie,Posts: 3,201707,,orang kajang tahu satay je lain tak kisah
~Sherlock~,20170717,New Member,Group: Junior Member,Posts: 39,201010,,"BN win more items will be 6% gst. either that or the current items will kena 12%. More power scenario, GST 12% and more items GST. ?"
