Topic title: Selfie with Najib fail,"Topic posted on: 18 Jul 2017, 15:25:00",Topic link: https://forum.lowyat.net/topic/4363104,"Topic scraped on: 02 Aug 2017, 02:55:58",
username,date,avatar_title,group,post_count,join_date,from,text
Sai Lin Nia,20170718,New Member,Group: Newbie,Posts: 2,201202,,-KNEGLkN1yk
rcracer,20170718,?????,Group: Senior Member,"Posts: 3,437",200301,,Paranoia
patienceGNR,20170718,? Ride All Day ?,Group: Senior Member,"Posts: 1,568",201103,From: Autofreaks.NET Poking The Bikes,The security has to be careful. What if he has a knife and stabbed Dato Seri in the back?
zakuankajang,20170718,New Member,Group: Newbie,Posts: 0,201705,"From: Kepala Batas, Penang",he is the boss
Jasonist,20170718,gegegegege,Group: Senior Member,"Posts: 1,103",200605,From: Malaysia,LOL really mempersiasuikan
TOMEI-R,20170718,Extraordinaire,Group: Senior Member,"Posts: 9,917",200703,From: Kuala Lumpur,Yes.. But show some respect la. He is the PM. Would you like it if someone unknown holds your shoulders and take a picture?
zoozooka,20170718,Getting Started,Group: Junior Member,Posts: 226,201206,,?? you can't touch me ??
peakaboo99,20170718,New Member,Group: Junior Member,Posts: 6,200907,,"""tangan turun,itu bukan bapak awak"""
myasiahobby,20170718,Casual,Group: Junior Member,Posts: 455,200912,From: Russia,
JungWoo,20170718,On my way,Group: Senior Member,Posts: 586,201202,,walao bitch push people like 'protected' jib effectivelyhoping for bonus latu
enviro,20170718,Getting Started,Group: Junior Member,Posts: 274,201111,,That shot will open doors for him ?
lol~,20170718,Getting Started,Group: Junior Member,Posts: 219,200906,,"nothing wrong, just protocols. move along"
teehk_tee,20170718,#crushingit ?,Group: Senior Member,"Posts: 5,201",200504,From: KUL/BKK/HKG/JKT,"asking for selfie, need to have etiquette jugak.u dont go to strangers and put your arms around them mcm member ko je."
mohdkakarot,20170718,New Member,Group: Junior Member,Posts: 13,201408,,that is protocol for the security.
ZforZebra,20170718,Getting Started,Group: Junior Member,Posts: 72,201012,,this is PM yo. sure la cannot hands over bahu like that. if hes ur geng 40 yrs back then can la. now different status
mz2020,20170718,Getting Started,Group: Junior Member,Posts: 127,200704,,
samuraikacang,20170718,You tak suka You Keluar,Group: Senior Member,Posts: 696,200801,From: Kuala Lumpur,+1
nazq,20170718,doom merchant,Group: Senior Member,"Posts: 1,164",201006,,"at least can mock fun, like this"
lukeroku,20170718,On my way,Group: Senior Member,Posts: 616,201404,,the security triggered very fast
ashportal,20170718,Enthusiast,Group: Senior Member,Posts: 739,200810,,jibby quite tall or msia full of shorty?
aizielectreon,20170718,Casual,Group: Junior Member,Posts: 306,200905,,
LamboSama,20170718,Getting Started,Group: Junior Member,Posts: 67,201108,,ask permission before touching people.only some people would like random guys touching them.
HongKi,20170718,Getting Started,Group: Junior Member,Posts: 111,201311,,Haha i was thinking about this
JokerNymous,20170718,Getting Started,Group: Junior Member,Posts: 196,201610,,okay what let him die
koolio,20170718,New Member,Group: Newbie,Posts: 2,201509,,and that's why MO1 gets away with the missing funds from 1mdb...
