Topic title: BN nak DAP ketuai Pakatan Harapan  LMAO LULZ,"Topic posted on: 19 Jul 2017, 22:47:00",Topic link: https://forum.lowyat.net/topic/4364534,"Topic scraped on: 02 Aug 2017, 02:55:25",
username,date,avatar_title,group,post_count,join_date,from,text
Vape [On],20170719,Regular,Group: Senior Member,"Posts: 1,069",201511,,"KUALA LUMPUR: DAP sepatutnya mengetuai Pakatan Harapan (PH) kerana parti itu mempunyai kerusi Parlimen paling banyak di kalangan gabungan 4 parti pembangkang itu, kata Ahli Majlis Tertinggi Umno, Datuk Seri Dr Shahidan Kassim.Menteri di Jabatan Perdana Menteri itu berkata, DAP memiliki 37 kerusi Parlimen berbanding 3 parti komponen lain dalam PH.“Sekarang ini, untuk membolehkan sesebuah parti itu memimpin dalam politik, parti yang (mempunyai kerusi) majoriti itu akan jadi ketua.“Dalam Barisan Nasional (BN), ketuanya Umno kerana Umno ada 88 kerusi. Tetapi dalam pembangkang, DAP ada 37 kerusi, PKR ada 29 kerusi, Amanah ada 8 kerusi dan PPBM ada 1 kerusi.“Bagaimana satu (kerusi) mahu jadi ketua? Siapa kerusi majoriti, dia jadi ketua,” katanya pada Majlis Rumah Terbuka Aidilfitri Kementerian Belia dan Sukan di Axiata Arena, Bukit Jalil, hari ini.Terdahulu, Setiausaha Akhbar Perdana Menteri, Datuk Seri Tengku Sariffuddin Tengku Ahmad berkata, Lim Kit Siang ialah ketua sebenar PH dan bekas perdana menteri, Tun Dr Mahathir Mohamad sekadar boneka gabungan pembangkang itu.Ini kerana, katanya, PPBM yang diasaskan Dr Mahathir hanya mempunyai sebuah kerusi Parlimen berbanding DAP yang memiliki 37 kerusi Parlimen.“Sama ada beliau sebenarnya penuh ilusi, tidak realistik atau dengan sengaja mahu menipu rakyat, hakikatnya diktator sebenar pembangkang adalah Lim Kit Siang – seorang yang tidak kelihatan dalam carta kepimpinan mereka,” katanya.Pada 13 Julai lalu, PH melantik Dr Mahathir sebagai pengerusinya, manakala Datuk Seri Anwar Ibrahim sebagai ketua umum dan Datuk Seri Dr Wan Azizah Wan Ismail selaku presiden.Penasihat DAP, Lim Kit Siang bagaimanapun tidak mempunyai sebarang jawatan dalam pucuk pimpinan PH dan anaknya, Guan Eng dilantik sebagai timbalan presiden gabungan itu.Mengulas lanjut, Shahidan percaya jika PH menang dalam pilihan raya umum akan datang, DAP akan menjadi ketua dalam gabungan itu.Sehubungan itu, katanya, rakyat tiada pilihan lain kecuali mengundi BN.“BN akan menang. Rakyat tidak ada pilihan selain BN untuk jadi kerajaan. Penjawat awam kena sokong kerajaan BN.“Dia (Mahathir) mahu lawan BN dan Najib, saya akan bertarung habis-habisan dengannya,” katanya.http://www.freemalaysiatoday.com/category/...-kata-shahidan/"
unknown warrior,20170719,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,takut dgn Dr.M ye?
sonic31s,20170719,Getting Started,Group: Junior Member,Posts: 85,201604,,"BeeNd !!!Mind your own business, ""sendiri"" butt haven't clean yet(2.6b). Start busy body on other issue !"
DarkAeon,20170719,Casual,Group: Junior Member,Posts: 452,201011,,not the sharpest tool in the shed i see
AyamBannedTwice,20170719,Getting Started,Group: Junior Member,Posts: 55,201502,,Itu la banyak kerusi pun jadi kuli
abgropi,20170719,New Member,Group: Newbie,Posts: 0,201706,,my god!!  i will not vote opp this GE14.
Arata,20170719,New Member,Group: Newbie,Posts: 1,201607,,
hjffgjng,20170719,Getting Started,Group: Junior Member,Posts: 66,201705,,"see bn games??no need to reveal ace card summoreheck,a thousand 1mdb happen also bn ok,oppo is nuthineverythin checkmate when bijan prison anwar...........anwar is the only oppo had to yield some result"
olman,20170719,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,I smell a bait.Later can conveniently claim Ph dikuasai cino melayu akan hilang hak istimewa
spacelion,20170719,??,Group: Senior Member,"Posts: 1,378",200903,From: impossibru,already start to divide and conquer lel
