Topic title: Pakatan Harapan ready to takeover Government,"Topic posted on: 25 Jul 2017, 14:25:00",Topic link: https://forum.lowyat.net/topic/4369512,"Topic scraped on: 02 Aug 2017, 02:53:32",
username,date,avatar_title,group,post_count,join_date,from,text
Outbackk,20170725,New Member,Group: Newbie,Posts: 0,201707,,"Ketua pembangkang harap peralihan kuasa yang baikKetua Pembangkang Datuk Seri Dr Wan Azizah Ismail berharap Perdana Menteri Datuk Seri Najib Razak memastikan peralihan kuasa yang baik jika mereka berjaya membentuk kerajaan baru nanti.“Saya ingin mencadangkan agar Datuk Seri Najib tidak memperlekeh kekuatan dan iltizam Pakatan Harapan dalam membina Malaysia yang lebih baik,” katanya.“Dan sebaliknya beliau perlu mengumumkan bahawa beliau bersedia menerima kehendak rakyat dan memastikan peralihan kuasa yang baik sekiranya Pakatan Harapan pilihan raya umum ke-14 nanti.”Pilihan raya umum harus diadakan selewat-lewatnya Julai tahun depan."
zorbyss.,20170725,"oh, my bad!",Group: Senior Member,"Posts: 1,277",200904,From: I'm stuck in Steam,"BN is bodo.Pembangkang is no better.Every day create riot, create chaos.Look at those supporter only know how to insult ppl's family.Talk shit talk cock can. Do xtau."
abgropi,20170725,New Member,Group: Newbie,Posts: 0,201706,,if x 100.if if if if
Confirmed,20170725,New Member,Group: Newbie,Posts: 0,201707,,zorbyss for prime minister!
arubin,20170725,Holy Pastafarian,Group: Senior Member,Posts: 619,200710,From: Church of the Flying Spaghetti Monster,Sounds like you're actually describing BN instead of oppo lor.
zorbyss.,20170725,"oh, my bad!",Group: Senior Member,"Posts: 1,277",200904,From: I'm stuck in Steam,actually abang adik.
nickykee,20170725,New Member,Group: Junior Member,Posts: 40,200803,From: Morning Star,sorry noi will NSC you muahahahaha
LivingActive,20170725,New Member,Group: Junior Member,Posts: 10,201504,From: RobotPencariEmel.com,I expect if PH win they will not korek BN past songlap
arubin,20170725,Holy Pastafarian,Group: Senior Member,Posts: 619,200710,From: Church of the Flying Spaghetti Monster,"Nah, red shirts are obviously bigger samsengs.Anyway, one should always vote for change if you hope for something to change.Else always the same old crap in this country."
Toyoi,20170725,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,yes PH will build more jails for all penyamun2 dacing
RGRaj,20170725,New Member,Group: Junior Member,Posts: 40,201304,,Just folo how PH takeover Selangor las time.
skizzo75,20170725,New Member,Group: Junior Member,Posts: 12,200704,,"Yup n sumbat ramai PH, cause they like to samun n sorok, korek lubang cost u rm300 million fuyooio"
zorbyss.,20170725,"oh, my bad!",Group: Senior Member,"Posts: 1,277",200904,From: I'm stuck in Steam,"yeah. agree with you on.but, the current state of pembangkang is fucked up."
VinniJeyaa,20170725,Getting Started,Group: Junior Member,Posts: 297,200807,,Lolz. Thats what  they said in 2008. Dont think Bijan will allow a loss though.
arubin,20170725,Holy Pastafarian,Group: Senior Member,Posts: 619,200710,From: Church of the Flying Spaghetti Monster,"I agree also, but what choice do we have?Vote BN after 1MDB? Yeah right..."
MSN-05,20170725,Getting Started,Group: Junior Member,Posts: 79,201407,,"ah jib and lge actually related.watever happen, they all still top dogs getting moneyrakyat bye2"
vearn29,20170725,New Member,Group: Junior Member,Posts: 16,201009,,back under sultanate. everyone will shitbrix
zorbyss.,20170725,"oh, my bad!",Group: Senior Member,"Posts: 1,277",200904,From: I'm stuck in Steam,statement of the day.
natamhanjing,20170725,Getting Started,Group: Junior Member,Posts: 69,200907,,
alien13579,20170725,New Member,Group: Newbie,Posts: 4,200904,,"cheat until u winwhen all things fail, dnt give up seat as well"
jerm57,20170725,New Member,Group: Junior Member,Posts: 8,201011,From: Penis ular Bolehland,"If ever PKR win the election, I predict there will be a lot of fire and documents destroyed at many gov't agencies."
Terence573,20170725,wow!!!!!,Group: Senior Member,"Posts: 2,423",200605,From: Land Below the Wind,I hope PH takes overand hope Mamaktir will unleash his last triumph card to winit is now or never....THen i no need to see jokes everyday.
sonic31s,20170725,Getting Started,Group: Junior Member,Posts: 85,201604,,"PH to win as Government?!?!Yes can, wait for another 100 years !BN comfirm win next GE !!!"
Shijirarenai,20170725,Getting Started,Group: Junior Member,Posts: 99,200412,From: feels AWSM man,jails will be elephant project since they cannot bring many dacing pipul in it. How many were successfully indicted in courts and how long did it took?
Maotze,20170725,New Member,Group: Newbie,Posts: 0,201707,,With current state PH can win?  What a joke. If you can kaotim with Pas then only got hope.
Toyoi,20170725,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"build it first, sumbat them later..."
neoFluidic,20170725,New Member,Group: Junior Member,Posts: 47,201408,,"once PH take over.....pls do the best for the country and rakyatkorek all their wrong doings , put them all in jail exposed alll the truth PH we are ready for you , smooth transition is definitely All the best and good luck PH !!"
