Topic title: DAP Leader Lim Kit Siang Sustained The Injury,"Topic posted on: 30 Jul 2017, 08:21:00",Topic link: https://forum.lowyat.net/topic/4373542,"Topic scraped on: 02 Aug 2017, 02:52:24",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170730,New Member,Group: Newbie,Posts: 0,201208,,"U-fcnw3Ff4cDAP parliamentary leader Lim Kit Siang surprised attendees at a Harapan fundraising dinner in Kluang tonight when he turned up with a plaster over his head.However, Lim used the opportunity to emphasise his commitment towards political struggle, he said he sustained the injury on his head from a physical fall, but added that the same would not happen politically."
RGRaj,20170730,New Member,Group: Junior Member,Posts: 40,201304,,My vote is with DAP.
Arata,20170730,New Member,Group: Newbie,Posts: 1,201607,,Rajin nya ironmaid... where is joe mamak? Mcm long time no see him.
Kinitos,20170730,On my way,Group: Senior Member,Posts: 572,200709,,Head injury == mentally unstable Party
vanpersie91,20170730,Regular-ly posting shits and stuffs,Group: Senior Member,"Posts: 1,300",200901,From: Hurr Durr Herp Derp Land,Get well soon unker LKS.
joe_star,20170730,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,Applying bumi status. Queueing up outside bijan opis
Mr_47,20170730,"***NOT MODERATOR *** Post : +10,000,000,00 Warn: 100%",Group: Senior Member,"Posts: 4,132",200301,From: Bora-bora u jelly? Special: Age of multi-monitor,dap babe foverver
Arata,20170730,New Member,Group: Newbie,Posts: 1,201607,,Here come his bro joe_star
Big Balls Jackson,20170730,New Member,Group: Junior Member,Posts: 7,201402,,hahahah pandan muka babu
joe_star,20170730,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,"I not mamak, cannot apply bumi. Still have to be red bean army until bijan make star ppl as bumi"
coolguy99,20170730,Casual,Group: Junior Member,Posts: 341,201508,,get well soon unker lim
enviro,20170730,Getting Started,Group: Junior Member,Posts: 274,201111,,Wah he is 76 so he has LGE at 20.
