Topic title: FB Mahathir vs FB Najib ,"Topic posted on: 31 Jul 2017, 14:02:00",Topic link: https://forum.lowyat.net/topic/4374358,"Topic scraped on: 02 Aug 2017, 02:52:04",
username,date,avatar_title,group,post_count,join_date,from,text
~Sherlock~,20170731,New Member,Group: Junior Member,Posts: 39,201010,,"Dr.M:Over 1000 comments.Najib:kesian, takde orang komen."
StorMx,20170731,New Member,Group: Junior Member,Posts: 48,201104,,"Paling konsisten dalam halatuju.... Means you can calculate the consistent increase of debt, drop in ranking, reduce in safety, etc  LOL"
kici meow,20170731,Getting Started,Group: Junior Member,Posts: 70,201703,,i vote mr.m
Dineesh,20170731,Getting Started,Group: Junior Member,Posts: 204,201212,,29 July vs 2 hours ago. Of course huge difference
~Sherlock~,20170731,New Member,Group: Junior Member,Posts: 39,201010,,ok. Najib 29th post:
azhan82,20170731,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,"lel.. in the pic, everyone loves him..."
famusanus,20170731,New Member,Group: Junior Member,Posts: 9,201703,,
shinchan^^,20170731,K66,Group: Senior Member,"Posts: 20,570",200301,From: Pekopon,"even he appears infront your eyes, u still take pic with him"
Airwave,20170731,Getting Started,Group: Junior Member,Posts: 95,200705,,Sakit
patt_sue,20170731,Enthusiast,Group: Senior Member,Posts: 792,200502,,"nah... its typical umno....with umno, you dont judge the support by looking at the comments number or attendance number during ceramah... its not umno's forte..put aside the cybertroopers, their supporters are mostly the silent types."
manjacat,20170731,New Member,Group: Junior Member,Posts: 27,201312,,why both no blue tick?inb4 sumber facebook tidak boleh dipercayai
Awsomener,20170731,New Member,Group: Junior Member,Posts: 25,201210,,Not bad.....
amxpayne67,20170731,The Coon,Group: Senior Member,Posts: 683,201003,From: Puchong Extreme,is that shirt written TEGUK? Teguk milo?minum milo anda jadi ______________
moolala,20170731,New Member,Group: Newbie,Posts: 0,201703,,from the fb picture i could see there are multi-race supporting dr m
