Topic title: Mahathir  Dulu Zahid mintak tolong I ganti Bijan ,"Topic posted on: 01 Aug 2017, 01:10:00",Topic link: https://forum.lowyat.net/topic/4374865,"Topic scraped on: 02 Aug 2017, 02:51:01",
username,date,avatar_title,group,post_count,join_date,from,text
St0rmFury,20170801,Getting Started,Group: Super Senior,Posts: 175,200705,From: KL,SOS: https://www.malaysiakini.com/news/390457» Click to show Spoiler - click again to hide... «
99FoxDemon,20170801,New Member,Group: Junior Member,Posts: 19,200603,From: East Coast of Cuba.,heh.. quietly wan stab bijan from back.
hunt2sp,20170801,Always Somewhere,Group: Senior Member,Posts: 688,200301,"From: Kinrara, Puchong","fuuhh..soul train...each with their own back-stabbing knivesand we, vote for these guys...pfftt"
olman,20170801,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,Keldai trojan
wilsonjay,20170801,Wade Wilson,Group: Senior Member,"Posts: 1,493",200602,From: When The World Comes Down,macam game of thrones jerrr
nazrul90,20170801,Getting Started,Group: Junior Member,Posts: 253,200909,,"Eleh even Muhyidin spotted hold a banner ""I love PM""and what's now? He is not a PM fan anymoreToday friend can be your tomorrow enemy"
olman,20170801,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,Pm is truly a lucrative post eh
psycho1,20170801,New Member,Group: Junior Member,Posts: 27,200901,,"Dulu Najib also minta tolong mamak. But unlike Badawi, Najib is smart and manage to consolidate his power by showering the puppets with tons of cash.Anyway, Mamak is the dictator who started this corrupt politics by holding many positions at the same time and deminish the power of our monarch in order to rules with his iron fist. There are little check and balance inside the cabinet, all money and power control by this MO1."
acer7254,20170801,New Member,Group: Junior Member,Posts: 4,201401,,lol everybody know this zahidhe lick to suk a dick. even Anwar dick when anwar have power.then mahathir dick. and now najib dickhis mouth is so digustingtalam 2 muka
ReWeR,20170801,Foreveralone,Group: Senior Member,"Posts: 1,526",200409,From: KL,2 childish politicians
ReWeR,20170801,Foreveralone,Group: Senior Member,"Posts: 1,526",200409,From: KL,"i dun mind suk najib if i can get into that power and money   i'm only curious why he attack mahathir recently, if he diam2 and be a good dog, the next PM will most probably be him.if he anger mahathir, mahathir probably will do something on him make him cannot be next PM.not worth right?"
urbanite,20170801,Getting Started,Group: Junior Member,Posts: 123,201212,,"In politics, not an issue Mahathir, Anwar and Kit Siang are BFF now."
acer7254,20170801,New Member,Group: Junior Member,Posts: 4,201401,,"lol u're un loyal personof course he must attack Mahathirthose who's suck a najib dick must prove to his master of their support by doing the licking and barking / attacked their master enemy even KJ wont do that because he has his own class. but due to stay on his power, he itself need to do the barking work."
billylks,20170801,Getting Started,Group: Junior Member,Posts: 89,201005,,Habis liao. No chance zahid will be the next pm. He can kiss his dream good bye.
Juan86,20170801,Getting Started,Group: Junior Member,Posts: 82,200903,,both add up almost 200 years oldplease la
darthboyzzee,20170801,New Member,Group: Junior Member,Posts: 42,201502,,"lol ts, kau percaya cakap Madey?  Dr M brands Zahid a liar, dares him to show identity cardhttps://www.malaysiakini.com/news/390445#pXPrHz5LZ88sK7DJ.99  » Click to show Spoiler - click again to hide... «"
kici meow,20170801,Getting Started,Group: Junior Member,Posts: 70,201703,,tikam menikamfight
darthboyzzee,20170801,New Member,Group: Junior Member,Posts: 42,201502,,To Mod: Why fbv tag cuts bottom part of the video?
blueblueoutofblue,20170801,Enthusiast,Group: Senior Member,Posts: 878,201112,,"TBH , Zahid sendiri ada skeleton in closet which hold ransom by Najib now If he don't wayang kulit now before election, Zahid gonna make scapegoat by NajibThe ambitious mind of Zahid has and already notice by Najib.Don't forget, Najib has full control of special branch...."
omong,20170801,New Member,Group: Newbie,Posts: 0,201106,,Iinm zahid is in team anwar during reformasi years
dazule,20170801,New Member,Group: Newbie,Posts: 0,200901,,Kalau takda skill camtu igt leh jd politik ka.. Kasi logik skit bang
tikaram,20170801,Look at all my stars!!,Group: Senior Member,"Posts: 9,704",201111,,How come.?This low moral dpm can always ask police to arras najib over 1mdb if wanted to.Najib is gone case. Too many shit.This dpm still clean
jueiri,20170801,New Member,Group: Junior Member,Posts: 48,201103,,This old fox really cunning. He is trying to mem-batu api -kan najib and zahid and make them distrust each other. He is trying to pecah belah ummo from inside.
maxxxxx0123,20170801,New Member,Group: Junior Member,Posts: 14,201402,,lol. this is someone led umnoof coz la pandai macam tuPR PH still far far away la in terms of playing such game
nesadotcom,20170801,New Member,Group: Junior Member,Posts: 8,201208,,Sibei. You put Anwar in jail then go visit him for support. With Lim Kit Siang lagi disgusting Mahathir Kutty the kitty
alexcky,20170801,business Sifu,Group: Senior Member,Posts: 754,200711,,Zahid will have no chance of becum next pm.. Najib will appoint hisapudin as the new pm after he retired
ohigho,20170801,New Member,Group: Newbie,Posts: 1,201707,,lel.skg madey ckp apa pun korg percaya kan.mentang2 madey boleh diperguna dap.kah kah kah
darthboyzzee,20170801,New Member,Group: Junior Member,Posts: 42,201502,,Another source.
jueiri,20170801,New Member,Group: Junior Member,Posts: 48,201103,,This i agree. No one from opposition have a mind like him and political strategy like him.Before this i dislike him. But even anwar and lks can forgive him and willing to work together. Now i support him. hope he can bring down mo1.
cringe,20170801,Getting Started,Group: Junior Member,Posts: 123,201404,"From: Klang, Selangor","There is NO FRIEND IN POLITICS.Everyone want their piece of cake, pretending to be your friends because to gain support and so on.Bila bila masa they can stab you from back.My friend that join politic also told me the same thing.In politics, BN, PKR, PAS, DAP, Amanah semua sama je.Orang hasad dengki banyak dalam politik. Hati hatilah if you guys want to join politic"
cringe,20170801,Getting Started,Group: Junior Member,Posts: 123,201404,"From: Klang, Selangor","Baru tahu ke bro?Benda penting kalau nak join politics, kena tahu skill jilat and have good connection with people.My friend last time join bertanding for Parlimen Belia, have excellent background in terms of clubs and societies during university, also can lose to people that don't have any experience or leadership during university. That person win, mak bapak ada background in politics, ada connection semua jalan."
latipbogiba,20170801,New Member,Group: Newbie,Posts: 2,201512,From: ayer tawar,the this field anything can happens
bereev,20170801,Getting Started,Group: Junior Member,Posts: 53,201112,,"semua orang pun ada dulu , dulu tak ada chan skrg lain , skrg saya berkuasa"
ashestoashes,20170801,New Member,Group: Junior Member,Posts: 26,200905,,zahid suck najib's dick is wrongbut lim kit siang and mahathir doing 69 is best movie of the yearmalaysian logic
bereev,20170801,Getting Started,Group: Junior Member,Posts: 53,201112,,"see this BN ppl so bad , dare to spoil ppl reputation playing race card when ppl oppose them tsk tsk tsk  this show that why Malaysia today still having Race and Religion issue because over the 60 Year ppl use this Race and Religion issue to gain support , even own race own party memebr also cannot escape , very disgusting"
Exquisite,20170801,Getting Started,Group: Junior Member,Posts: 73,200602,,"The big question is when will maresians see that all these whiles umngok is the source of all problems? Be it komedi ka, bijan ka, madey  ka they all belong to the same stable."
doppatroll,20170801,Getting Started,Group: Junior Member,Posts: 133,201309,,not only politics but also business and office working environment.....it is human nature to step up on the hill top of the food chain by using whatever means necessary to gain that opportunity
adamw,20170801,Back to serve justice to those PKHKC corrupted ministers!,Group: Senior Member,"Posts: 1,278",200612,,+1
adamw,20170801,Back to serve justice to those PKHKC corrupted ministers!,Group: Senior Member,"Posts: 1,278",200612,,But indon or mamak they also consider as orang kite! So how to get rid of Scumno?
Zot,20170801,Regular,Group: Senior Member,"Posts: 1,922",201403,,"Since mamak is not yet classified as bumiputra, can we say that Mahathir is the first non-bumi PM?"
maxxxxx0123,20170801,New Member,Group: Junior Member,Posts: 14,201402,,"Before this when madey with umno, all these not Malay issue they all don't bother or leave it behind. All this pm must be Malay thing also lupaNow madey no more with umno, they keluar say this say that. But then BN Macai won't say sendiri hypocrite, they only tau say PH PR hypocrite when they work with madeyPadahal both also same shit same boat, but BN macai now actively proving sendiri is hypocrite is funny"
Spectreoutreach,20170801,Casual,Group: Junior Member,Posts: 348,200801,,of course he waiting for right time and supporter to make the claim
jimmybcmy,20170801,Getting Started,Group: Junior Member,Posts: 294,200805,,"Now become racist issue, no matter indon or indian, all are human being, why need to be racist?"
