Topic title: Perkasa  Zahid guna peluru kapur serang Mahathir,"Topic posted on: 01 Aug 2017, 21:34:00",Topic link: https://forum.lowyat.net/topic/4375610,"Topic scraped on: 02 Aug 2017, 02:50:53",
username,date,avatar_title,group,post_count,join_date,from,text
wankongyew,20170801,Regular,Group: Senior Member,"Posts: 1,075",200711,,http://www.msn.com/en-my/news/national/pel...epTB?li=BBr8Hnu
dadurtyz,20170801,On my way,Group: Senior Member,Posts: 602,200605,From: Melaka,"Pla korek this zahid, anak jawa dia ni, biar dia balik indon plss"
amon_meiz,20170801,On my way,Group: Senior Member,Posts: 666,200901,,Literally dig his own graveThat mamak la u guys been serving and bowing to for 22 years
SliparJepun,20170801,Getting Started,Group: Junior Member,Posts: 87,201306,,zahid manada telur..2x5 ngan najib
pakmulau,20170801,Getting Started,Group: Junior Member,Posts: 128,201603,,So sad la this zahid. why stoop so low to attack your enemy?your dream to be a PM is gone forever
alexcky,20170801,business Sifu,Group: Senior Member,Posts: 754,200711,,Zahid is digging his own grave but perkasa only topkek here
will4848,20170801,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,"komidi actually very bodo, learn from bijan la.... when mamak attack pak lah bijan diam diam saja"
smallcrab,20170801,Getting Started,Group: Junior Member,Posts: 82,200707,From: Puchong,"this komedi got Doctorate, but main politik level kindergarden only"
pandah,20170801,On my way,Group: Senior Member,Posts: 537,201107,,"lol perkasa talking senseif even the tier of perkasa can sound zahid, looks like bijan plan to ditch him liao"
SweetPuff,20170801,Look at all my stars!!,Group: Senior Member,"Posts: 2,003",200301,,Means BN accepts non Malay to be a PM?
wotvr,20170801,New Member,Group: Junior Member,Posts: 5,201206,,I think Zahid gonna be sacked soon. Replacement incoming.
LamboSama,20170801,Getting Started,Group: Junior Member,Posts: 67,201108,,Now Ibrahim Ali also knows what is racist.Oh wait...
SliparJepun,20170801,Getting Started,Group: Junior Member,Posts: 87,201306,,ikr
RoastedChicken,20170801,Casual,Group: Junior Member,Posts: 440,201307,,Bb
