Topic title: DPM may be in deep shxt as Mahathir IC may have,"Topic posted on: 01 Aug 2017, 21:44:00",Topic link: https://forum.lowyat.net/topic/4375625,"Topic scraped on: 02 Aug 2017, 02:50:53",
username,date,avatar_title,group,post_count,join_date,from,text
expendables,20170801,New Member,Group: Junior Member,Posts: 19,201310,,http://realpolitikasia.blogspot.my/2017/07...is-name-in.htmlMahathir b. Mohd Iskandar is the name in pre-Independence records :Zahid Hamidi's Mahathir NRID record falsified ?
weyyt,20170801,Getting Started,Group: Junior Member,Posts: 82,201202,,Janji tipu orang kampung mamakthir nt orangkita
sonic31s,20170801,Getting Started,Group: Junior Member,Posts: 85,201604,,Zahid....Byebye !!!
unknown warrior,20170801,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,Did Zahid fall into a trap cooked by bijan tactical team?
helpful,20170801,New Member,Group: Junior Member,Posts: 18,201412,,Best TEST to see if VVIPs get away with CRIMINAL ACTS !This will show which way Malaysia is heading .I am PESSIMISTIC !
teehk_tee,20170801,#crushingit ?,Group: Senior Member,"Posts: 5,201",200504,From: KUL/BKK/HKG/JKT,bijan whack 2 birds one stoneyamanthir distracted -> komedi fight a lonely battle n sacrificed
Slowpokeking,20170801,New Member,Group: Newbie,Posts: 0,201410,,What is the headline? Cant find the name.
ZZR-Pilot,20170801,Enthusiast,Group: Senior Member,Posts: 737,200507,,Naah.... Zahid fucked himself up. No need to mistake his own stupidity for Najib's genius.Everybody knows Zahid has never been the sharpest tool in the shed anyway.
Pain4UrsinZ,20170801,Enthusiast,Group: Senior Member,Posts: 844,200812,From: In The HELL FIRE,why bye bye ? mahatir going to sue him ?
toothgnasher,20170801,Getting Started,Group: Junior Member,Posts: 190,200711,,zahid 3rd world DPM.
LamboSama,20170801,Getting Started,Group: Junior Member,Posts: 67,201108,,Bye bye from UMNO.Welcome by PPBM.
pandah,20170801,On my way,Group: Senior Member,Posts: 537,201107,,if real then how?he will said nrd tipu him? media misquoted? looks like me but not me saying it? reveal salah orang namanya memang mahathir a/l iskandar kutty tapi driver taxi etc?
teehk_tee,20170801,#crushingit ?,Group: Senior Member,"Posts: 5,201",200504,From: KUL/BKK/HKG/JKT,boleh tuka nama majabba pun tuka nama
rcracer,20170801,?????,Group: Senior Member,"Posts: 3,437",200301,,fell into trap
sanosizo,20170801,mambang tanah,Group: Senior Member,"Posts: 3,963",200301,"From: Shah Alam, Newcastle North East",His phone got hacked
SliparJepun,20170801,Getting Started,Group: Junior Member,Posts: 87,201306,,padan mukakterlebih hero nak bodek bijan
azhan82,20170801,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,Zahid kena main dek Ketua Pengarah JPN...Najib 1 Zahid 0
azhan82,20170801,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,
PhakFuhZai,20170801,pak beruang,Group: Senior Member,"Posts: 1,386",201104,,"Disukai oleh Anwar Ibrahim, mungkin kerana jambudid his backside kena jambu by Abg Annuar before"
Raja Susu,20170801,New Member,Group: Newbie,Posts: 0,201707,,"Misquoted, tak salah berwas-was, apa salahan saya, etc"
Bill888,20170801,New Member,Group: Newbie,Posts: 0,201506,,"Habis lah, hisapmudin going to take over."
azbro,20170801,Look at all my stars!!,Group: Senior Member,"Posts: 4,010",200701,From: Johor Bahru,"Meanwhile, even K believed it... Piiilah K"
rauma,20170801,New Member,Group: Newbie,Posts: 2,201003,,comedy really needs to go. he's hurting bee end. jibby totally aware of this and needs to find a way to kick him out without doing it himself.
