username,time,avatar_title,group,post_count,join_date,from,text
gsem984,"  Jul 11 2017, 08:55 AM, updated 6h ago",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,"Chris was known to be a lesbian in my company. She is pretty and cool, short hair, always dressed like a Tomboy in office. some guys tried to woe her but always got rejected coldly. I learned from her closed friend that Chris had a traumatic relationship with his boyfriend in high school, and since then became a lesbian.As a boss, I don't usually interfere my staff's personal life, as long as they deliver the performance. But to say I am not attracted by her pretty face then I am hypocrite. I sometimes feel that it is really a waste that a pretty lady like her has to be a lesbian. The future prospect and the well-being of a staff is somewhat a responsibility of employer. For this, I made a business trip with Chris to Penang for a prospect customer meeting.We checked in Shangri-La's Rasa Sayang Resort & Spa Hotel. In one night I asked her to bar downstairs to talk her heart out, asked her about the personal life. She shocked by my direct frankness, yet she told me everything. Then she cried and told me she is lonely, and wanted a normal woman life. That night, she really needed a companion....After the business trip, Chris is much happier and friendly to everybody. Staff told me she is no longer a lesbian, and appeared to start a normal relationship with a guy. As a boss, I am glad I managed to work for extra mile for my staff to lead them to a better life. Chris still came to look for me once in a while, to show her gratitude to me for my help to her normal life. All the best, Chris."
Slowpokeking,"  Jul 11 2017, 08:56 AM",New Member,Group: New Member,Posts: 0,Joined: Oct 2014,,Grats TS for turning some girls life around.
yeezai,"  Jul 11 2017, 08:57 AM",-using no way as way-having no limitation as limitation-,Group: Senior Member,"Posts: 2,157",Joined: Feb 2009,From: Land below the wind,Did u open her siham that nite ?
ak101ss,"  Jul 11 2017, 08:59 AM",Casual,Group: Junior Member,Posts: 382,Joined: Jul 2009,From: Soyuz Sovetskikh Sotsialisticheskikh Respublik,No wonder hujan kat sini skrang... Cool sorry bruh
M4A1,"  Jul 11 2017, 08:59 AM",[*#^?SONE?^#],Group: Senior Member,"Posts: 1,169",Joined: Aug 2005,,Sejuk brr
riezzien,"  Jul 11 2017, 08:59 AM",New Member,Group: Junior Member,Posts: 24,Joined: Jan 2009,,untung lah boss dapat free piap from time to time
Knight_2008,"  Jul 11 2017, 09:00 AM",Regular,Group: Senior Member,"Posts: 1,168",Joined: Oct 2008,,Think that is his point.Become her companion for the night; and also once a while when she come to show her gratitude. Pity the other guy who is starting a relationship with her though
nebula87,"  Jul 11 2017, 09:03 AM",Getting Started,Group: Junior Member,Posts: 134,Joined: Nov 2013,,great scott..u made her no longer virgin...
aloha2017,"  Jul 11 2017, 09:05 AM",New Member,Group: New Member,Posts: 3,Joined: May 2017,,Last time college time I got 1 lesbian friend also but she on guy side.. one day she challenge one of my friend to piap her coz she said she won't have any feeling and she don't mind too..After piap... she addicted d.. after 1 year always wear sexy sexy skirt asking for piapFast forward 10 years .. now with kids liaoNext time terus piap je to save them
subaru555,"  Jul 11 2017, 09:06 AM",Getting Started,Group: Junior Member,Posts: 61,Joined: Oct 2011,,You have broke a lot of women's heart!
nearlee,"  Jul 11 2017, 09:13 AM",Getting Started,Group: Junior Member,Posts: 103,Joined: May 2009,From: iNearly,>datang lagi dengan tered sejuk gsem nyaNearlee
hcmalaya,"  Jul 11 2017, 09:15 AM",New Member,Group: New Member,Posts: 0,Joined: Oct 2015,,Prepare to be sued for sexual harassment
puteraX2020,"  Jul 11 2017, 09:17 AM",Enthusiast,Group: Senior Member,Posts: 759,Joined: Oct 2008,From: Shah Alam,
jimmybcmy,"  Jul 11 2017, 09:36 AM",Getting Started,Group: Junior Member,Posts: 291,Joined: May 2008,,"Plot twist, chris was a male became transgender because want to piap his boss."
gsem984,"  Jul 11 2017, 09:41 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,I had to.
kcchong2000,"  Jul 11 2017, 09:45 AM",New Member,Group: New Member,Posts: 3,Joined: Jan 2009,,fixed
ozak,"  Jul 11 2017, 09:46 AM",10k Club,Group: Senior Member,"Posts: 11,612",Joined: Jan 2005,,This is the story about the hamsap boss is it?He fark her during that trip. Than she once  a while need his service.
MakNok,"  Jul 11 2017, 09:57 AM",Look at all my stars!!,Group: Senior Member,"Posts: 2,895",Joined: Jan 2003,,read similar storyline before.either TS is a member at Sammy or Mamak...  sejuk
