username,time,avatar_title,group,post_count,join_date,from,text
Kim Bi Jan,"  Jul 11 2017, 03:12 PM, updated 41m ago",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,recently bumped into my fren in shopping mall coming out from massad center with his wifu...then i saw inside all guys doing the massad.i dunno what massad they had..but it triggered me and made me ask myself whether will i allow my wifu to be massad by guys. wat bout jiu guys?inb4 JAV earthquake massad owes end in piaping
famusanus,"  Jul 11 2017, 03:16 PM",New Member,Group: Junior Member,Posts: 9,Joined: Mar 2017,,no
Chili_90,"  Jul 11 2017, 03:16 PM",Getting Started,Group: Junior Member,Posts: 102,Joined: Mar 2011,,im not allow
Kim Bi Jan,"  Jul 11 2017, 03:17 PM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,not allow what?
teehk_tee,"  Jul 11 2017, 03:19 PM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,so ez to triggered ah beta males
kllonely1,"  Jul 11 2017, 03:20 PM",New Member,Group: Junior Member,Posts: 32,Joined: Oct 2004,,"You know how to massage?If not go to female massage center only.Wife enjoy, you enjoy."
MonsterPips,"  Jul 11 2017, 03:21 PM",Casual,Group: Junior Member,Posts: 320,Joined: Jun 2013,,Piap je la
MR_alien,"  Jul 11 2017, 03:23 PM",Mr.Alien on the loss,Group: Senior Member,"Posts: 2,016",Joined: Oct 2007,From: everywhere in sabah,u meanBvlVi8VCwoM
cbm711,"  Jul 11 2017, 03:24 PM",Getting Started,Group: Junior Member,Posts: 132,Joined: Dec 2009,,Allowed! The uncle its me .. all ladies are welcomeMarried kah. Janda kah. OL kah. Dinox kah. Lesbiang kah. All are welcomed.PM tepi for the address. Discount 50% will be given if take 2 hour package. Got more time inside the bilik urut. If you know what i mean lol.
omara86,"  Jul 11 2017, 03:36 PM",0mg nicotine juice,Group: Senior Member,Posts: 702,Joined: Jan 2007,From: Island of Borneo,"i dont mind, been there, done that."
