username,time,avatar_title,group,post_count,join_date,from,text
dewill,"  Jul 19 2017, 09:55 AM, updated 1h ago",Regular,Group: Senior Member,"Posts: 1,483",Joined: Feb 2006,,"She got alot of awards and alot recognition. Yet, she still far behind from most of the HK divas.Example; Anita Mui, Wong Faye, Sammi Cheng and etc."
daddygrandson,"  Jul 19 2017, 09:56 AM",New Member,Group: New Member,Posts: 3,Joined: Jun 2017,,Who da fuck is G.E.M
wankongyew,"  Jul 19 2017, 09:57 AM",Regular,Group: Senior Member,"Posts: 1,057",Joined: Nov 2007,,"Name too confusing. She has a normal Chinese name, but G.E.M. sounds like the name of a band, not a person."
s[H]sIkuA,"  Jul 19 2017, 09:57 AM",Evolution never stops,Group: Senior Member,"Posts: 2,150",Joined: Sep 2004,,She is currently the most hated celebrity in HK right nowWhat do you think
fuzzy,"  Jul 19 2017, 09:57 AM",*pew pew pew*,Group: Senior Member,"Posts: 4,687",Joined: Jan 2003,From: Klang,
esdome,"  Jul 19 2017, 09:58 AM",Casual,Group: Junior Member,Posts: 471,Joined: Jan 2007,,Is she the one who always sing ppl's songs?
zoozooka,"  Jul 19 2017, 09:58 AM",Getting Started,Group: Junior Member,Posts: 223,Joined: Jun 2012,,"Lack of entertainment back thenNow YouTube r and Instagram, red people also considered celebrities"
kweil,"  Jul 19 2017, 09:59 AM",Getting Started,Group: Junior Member,Posts: 98,Joined: Jun 2015,,"cocky, short, no curve, unable to pronounce clearly when singing etc etc.."
benson92,"  Jul 19 2017, 10:01 AM",On my way,Group: Senior Member,Posts: 690,Joined: May 2015,,face problem
Elgore,"  Jul 19 2017, 10:01 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Apr 2011,From: Seven Nation,who dat be
lingleeyen,"  Jul 19 2017, 10:02 AM",Regular,Group: Senior Member,"Posts: 1,022",Joined: Jan 2011,,Cz the media say she lansi. Media no love her.
ZeroSOFInfinity,"  Jul 19 2017, 10:03 AM",New Member,Group: Junior Member,Posts: 38,Joined: Oct 2005,,"True story - one of my wife's friend who works for Genting says she is a ""stuck up bitch"". When she came to perform in 2015, a lot of people cannot stand her... she wanted things to be her own way and time, and scolded both her and Genting's event staffs for trivial things."
replayzxc,"  Jul 19 2017, 10:05 AM",Getting Started,Group: Junior Member,Posts: 52,Joined: Dec 2015,,No curve? Ill cucuk her until i mati pucuk
happyking4ever,"  Jul 19 2017, 10:06 AM",Getting Started,Group: Junior Member,Posts: 192,Joined: Feb 2015,,"frankly, her songs are just not as good as previous divas."
KcX35,"  Jul 19 2017, 10:07 AM",Dreams,Group: Senior Member,"Posts: 2,111",Joined: Aug 2011,From: K.L,"she looks like a kid tbh, wow here wow there, when i see the real person"
and85rew,"  Jul 19 2017, 10:08 AM",Red Devil,Group: Senior Member,Posts: 646,Joined: May 2006,From: Kuching,WahBody like that u also can comment like this...
ashestoashes,"  Jul 19 2017, 10:08 AM",New Member,Group: Junior Member,Posts: 26,Joined: May 2009,,why you even compare her with faye wong?
and85rew,"  Jul 19 2017, 10:09 AM",Red Devil,Group: Senior Member,Posts: 646,Joined: May 2006,From: Kuching,Maybe she need few more hit songs of her own
kweil,"  Jul 19 2017, 10:09 AM",Getting Started,Group: Junior Member,Posts: 98,Joined: Jun 2015,,big head small body..
azizul1975,"  Jul 19 2017, 10:10 AM",Regular,Group: Senior Member,"Posts: 1,042",Joined: Nov 2005,,G.E. who ?
