name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
纳吉·阿都拉萨,1,6,17,17,24,12,16,18,17,4,3,12,8,8,3,6,4,2,13,10,14,10,3,15,5,4,5,6,10,0,0
纳吉·阿都拉萨,2,0,1,1,1,0,6,6,5,2,1,2,0,3,1,3,1,0,1,1,3,2,3,1,0,0,3,1,0,0,0
安华·依布拉欣,1,1,2,2,3,6,1,2,3,3,0,1,2,0,2,2,2,2,2,5,4,1,0,0,2,0,0,2,2,0,0
安华·依布拉欣,2,0,0,1,2,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
马哈迪·莫哈末,1,6,16,17,25,11,12,6,8,1,4,14,5,4,8,5,2,2,9,8,6,9,11,12,6,5,5,8,5,0,0
马哈迪·莫哈末,2,0,1,2,3,1,3,2,2,1,4,6,3,6,4,2,1,0,2,3,1,3,6,0,1,1,2,2,1,0,0
林冠英,1,6,0,2,7,1,5,6,7,3,0,7,2,12,9,9,3,1,9,6,4,5,10,2,1,11,7,20,13,0,0
林冠英,2,1,0,0,2,1,2,0,1,0,2,2,2,3,2,0,0,2,1,0,1,0,1,0,0,5,0,3,1,0,0
廖中莱,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,1,0,1,0,0,4,0,2,0,0,0
廖中莱,2,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
拉菲兹·南利,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
拉菲兹·南利,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
潘儉偉,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潘儉偉,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
罗斯玛·曼梳,1,1,0,2,3,1,0,0,1,1,0,0,1,0,0,0,1,0,3,1,2,1,0,1,0,0,0,1,1,0,0
罗斯玛·曼梳,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
曹观友,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0
曹观友,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
郑雨周,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郑雨周,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
魏家祥,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
魏家祥,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
卡巴星,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卡巴星,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
许子根,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
许子根,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
哈迪阿旺,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0
哈迪阿旺,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
