name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
纳吉·阿都拉萨,1,14,8,5,14,5,10,6,7,6,9,6,6,10,15,3,6,13,16,17,15,15,19,9,9,12,6,11,10,21,3
纳吉·阿都拉萨,2,1,0,1,0,2,2,0,0,3,0,3,3,5,0,0,1,3,1,0,1,0,3,0,0,0,1,1,0,1,1
安华·依布拉欣,1,0,1,0,1,0,1,2,2,2,3,0,1,2,0,0,0,4,0,0,3,0,0,0,0,0,1,1,0,1,0
安华·依布拉欣,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马哈迪·莫哈末,1,8,6,6,5,8,5,8,10,5,10,13,6,3,10,3,3,6,9,6,8,14,11,5,3,4,6,0,1,7,3
马哈迪·莫哈末,2,1,1,4,0,2,0,0,1,0,1,2,4,1,4,0,0,4,0,0,1,6,0,0,0,4,1,0,0,2,0
林冠英,1,7,6,8,6,6,10,7,12,5,7,7,5,0,6,2,3,0,3,3,4,6,5,4,7,9,3,2,4,2,1
林冠英,2,2,3,3,0,5,3,3,4,1,1,3,0,1,4,1,1,0,2,4,0,0,1,1,1,0,1,2,3,0,0
廖中莱,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
廖中莱,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拉菲兹·南利,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
拉菲兹·南利,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潘儉偉,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潘儉偉,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
罗斯玛·曼梳,1,0,0,0,1,1,1,0,3,1,0,0,0,0,1,0,0,1,1,1,2,3,0,0,0,3,0,0,1,0,0
罗斯玛·曼梳,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
曹观友,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
曹观友,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
郑雨周,1,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0
郑雨周,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
魏家祥,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
魏家祥,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卡巴星,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,2,2,2,0,1,0,0,0,0,0,0,0
卡巴星,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
许子根,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
许子根,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈迪阿旺,1,0,0,0,0,0,2,4,0,0,3,1,1,0,0,1,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0
哈迪阿旺,2,1,0,2,0,0,1,4,1,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
