name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
马华,1,5,6,8,9,22,14,18,22,18,31,21,11,6,15,21,10,14,6,12,8,7,9,5,7,8,12,21,26,23,12,0
马华,2,4,6,7,3,4,5,0,6,4,9,3,3,1,3,3,5,3,0,0,1,1,3,2,2,4,3,4,4,3,2,0
巫統,1,0,0,1,0,0,1,1,1,0,0,0,0,1,3,2,2,0,0,0,0,1,2,1,0,2,0,2,3,1,0,0
巫統,2,0,1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
火贱,1,7,2,3,8,10,6,14,15,9,15,8,10,7,9,13,5,8,2,6,3,4,4,8,4,11,4,4,6,7,1,0
火贱,2,1,3,4,3,3,1,4,5,4,4,3,6,5,6,2,0,2,0,2,2,1,4,5,1,1,6,5,2,2,1,0
行动党,1,2,2,3,1,2,2,5,2,6,7,10,4,3,9,6,4,3,2,0,3,2,2,1,1,7,6,5,4,5,4,0
行动党,2,1,0,2,1,2,0,1,0,0,2,1,0,1,2,1,3,0,1,0,1,1,1,1,0,2,0,3,1,1,0,0
誠信黨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
誠信黨,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
团结党,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,1,0
团结党,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蓝眼,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,2,1,4,1,0,0,0,0,0
蓝眼,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
民聯,1,1,1,0,0,2,2,1,0,2,3,3,0,1,1,1,4,1,0,0,1,0,1,1,0,1,1,0,0,1,2,0
民聯,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
民政,1,0,1,0,6,4,0,6,1,7,4,8,3,3,7,4,4,1,0,1,2,0,0,0,1,2,2,2,3,0,2,0
民政,2,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0
希盟,1,2,1,5,2,0,2,2,4,6,11,2,1,0,5,2,2,2,5,5,1,2,4,2,3,2,1,0,1,3,0,0
希盟,2,2,0,2,0,0,2,0,1,1,4,0,1,0,3,2,2,0,1,3,2,0,3,0,1,0,0,4,1,0,0,0
