name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
amanah,1,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,1,4,1,0,1,2,0,0,1,1,0,3,4,0,2
amanah,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
bn,1,6,1,1,2,1,6,2,3,0,2,7,3,9,4,4,9,4,4,7,12,13,7,2,8,13,1,3,3,1,2
bn,2,5,1,2,0,2,2,0,2,1,2,1,4,6,2,2,8,7,2,6,3,8,3,1,5,19,0,3,3,0,3
dap,1,2,0,1,2,2,4,1,6,1,2,11,9,16,8,7,4,7,4,8,9,7,3,2,7,10,6,4,4,0,13
dap,2,1,2,1,0,1,1,0,0,0,0,1,3,7,0,4,3,4,2,6,6,3,2,2,3,3,1,3,2,0,2
gerakan,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,1,1,0,0,0,0,1
gerakan,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0
keadilan,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0
keadilan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mca,1,0,0,1,0,0,3,1,1,1,1,2,1,3,0,2,0,2,0,0,1,2,3,0,2,1,1,0,0,0,2
mca,2,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
pakatan,1,0,0,1,1,0,3,0,2,1,0,4,3,3,0,0,1,1,2,1,2,0,0,0,4,6,1,2,0,0,2
pakatan,2,0,1,0,0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,0,2,1,0,0,2,3,0,1,1,0,0
pakatan rakyat,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1
pakatan rakyat,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
pakatan harapan,1,0,0,1,1,0,2,0,1,1,0,2,1,1,0,0,1,0,0,1,2,0,0,0,3,1,1,0,0,0,2
pakatan harapan,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
parti islam amanah negara ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti islam amanah negara ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti pribumi bersatu malaysia,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1
parti pribumi bersatu malaysia,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
pas,1,10,1,1,2,0,11,5,2,0,2,15,6,16,10,9,12,9,6,5,6,13,7,1,6,5,2,12,11,2,6
pas,2,6,2,3,0,1,2,3,2,0,0,5,6,8,4,4,7,10,5,7,6,3,1,1,2,3,0,6,8,0,6
pbb,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pbb,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
